date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:39:50	1340/1340	---M--	200	added ('OK')	image/png	etag:%2253c-4f3b3faaa4140%22	http://lotusgrill.de/fileadmin/img/bg-download.png	C:/users/mijaelsaban/Escritorio/bairesbrokers/lotus1/lotusgrill.de/fileadmin/img/bg-download.png	(from http://lotusgrill.de/typo3temp/compressor/merged-07844349677e4997bd87f0a2076ad61d-b90eb056d05cbaafec86592f58ec6780.css?1496251930)
12:39:51	1613/1613	---M--	200	added ('OK')	image/png	etag:%2264d-4f3b3faaa4140%22	http://lotusgrill.de/fileadmin/img/bg-close01.png	C:/users/mijaelsaban/Escritorio/bairesbrokers/lotus1/lotusgrill.de/fileadmin/img/bg-close01.png	(from http://lotusgrill.de/typo3temp/compressor/merged-07844349677e4997bd87f0a2076ad61d-b90eb056d05cbaafec86592f58ec6780.css?1496251930)
12:39:51	1446/1446	---M--	200	added ('OK')	image/png	etag:%225a6-4f3b3faaa4140%22	http://lotusgrill.de/fileadmin/img/fancy_nav_left.png	C:/users/mijaelsaban/Escritorio/bairesbrokers/lotus1/lotusgrill.de/fileadmin/img/fancy_nav_left.png	(from http://lotusgrill.de/typo3temp/compressor/merged-07844349677e4997bd87f0a2076ad61d-b90eb056d05cbaafec86592f58ec6780.css?1496251930)
12:39:51	1454/1454	---M--	200	added ('OK')	image/png	etag:%225ae-4f3b3faaa4140%22	http://lotusgrill.de/fileadmin/img/fancy_nav_right.png	C:/users/mijaelsaban/Escritorio/bairesbrokers/lotus1/lotusgrill.de/fileadmin/img/fancy_nav_right.png	(from http://lotusgrill.de/typo3temp/compressor/merged-07844349677e4997bd87f0a2076ad61d-b90eb056d05cbaafec86592f58ec6780.css?1496251930)
12:39:52	929/929	---M--	200	added ('OK')	image/png	etag:%223a1-4f3b3faaa4140%22	http://lotusgrill.de/fileadmin/img/separator02.png	C:/users/mijaelsaban/Escritorio/bairesbrokers/lotus1/lotusgrill.de/fileadmin/img/separator02.png	(from http://lotusgrill.de/typo3temp/compressor/merged-07844349677e4997bd87f0a2076ad61d-b90eb056d05cbaafec86592f58ec6780.css?1496251930)
12:39:54	8731/8731	---M--	200	added ('OK')	image/jpeg	etag:%22221b-4f3b3fab98380%22	http://lotusgrill.de/fileadmin/user_content/img04.jpg	C:/users/mijaelsaban/Escritorio/bairesbrokers/lotus1/lotusgrill.de/fileadmin/user_content/img04.jpg	(from http://lotusgrill.de/es/empresa/)
12:39:54	6227/6227	---M--	200	added ('OK')	image/jpeg	etag:%221853-4f3b3fab98380%22	http://lotusgrill.de/fileadmin/user_content/img05.jpg	C:/users/mijaelsaban/Escritorio/bairesbrokers/lotus1/lotusgrill.de/fileadmin/user_content/img05.jpg	(from http://lotusgrill.de/es/empresa/)
12:39:55	9167/9167	---M--	200	added ('OK')	image/jpeg	etag:%2223cf-4f3b3fab98380%22	http://lotusgrill.de/fileadmin/user_content/img06.jpg	C:/users/mijaelsaban/Escritorio/bairesbrokers/lotus1/lotusgrill.de/fileadmin/user_content/img06.jpg	(from http://lotusgrill.de/es/empresa/)
12:40:18	3383/3383	---M--	200	added ('OK')	image/jpeg	etag:%22d37-551794bbc73af%22	http://lotusgrill.de/typo3temp/_processed_/csm_LG_G-AN-340_0394f8d1ec.jpg	C:/users/mijaelsaban/Escritorio/bairesbrokers/lotus1/lotusgrill.de/typo3temp/_processed_/csm_LG_G-AN-340_0394f8d1ec.jpg	(from http://lotusgrill.de/es/lotusgrill/)
12:40:19	5284/5284	---M--	200	added ('OK')	image/jpeg	etag:%2214a4-55179697fce79%22	http://lotusgrill.de/typo3temp/_processed_/csm_LG_G-GE-340_a3357fc2dd.jpg	C:/users/mijaelsaban/Escritorio/bairesbrokers/lotus1/lotusgrill.de/typo3temp/_processed_/csm_LG_G-GE-340_a3357fc2dd.jpg	(from http://lotusgrill.de/es/lotusgrill/)
